Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
-ZdxX4yYhNk,2024-12-30T06:24:36Z,BIGTIME★ミステリーボックスギバウエィ🔥🎁,86,12,0,SZOU ☆Web3NFTゲームちゃんねる☆,0
yJeohy1mXlM,2025-01-05T16:24:02Z,Retour Nostalgique 🎊: Le Gameplay des Épiques et BigTime de 2022-2023 sur eFootball ! Efootball 2025,36,19,6,BIRANE GAMING 🎮🕹️,0
Menv5BIo-M8,2025-01-03T02:18:27Z,Bombohanay Bigtime,307,4,0,Bombo Radyo Iloilo,0
Ij9TWLqkLK0,2025-01-02T19:09:49Z,Big time G.Bale #efootball #bale #football #bigtime #efootball2025 #efootball2024,731,109,4,DaNiAL,0
ObgNZfT9wc8,2024-12-31T18:38:33Z,"【ぶっ壊れ】EPIC『新年ガチャ』能力解説＆比較評価！BigTime『最強ベイル』が登場！おすすめ育成,追加スキル,引くべきか徹底解説!!!【eFootball2025/イーフトアプリ】",9856,54,137,ひろ,0
gx08lai8MyE,2025-01-04T06:08:36Z,GACHA🔥ALL IN BIGTIME BALE + BORONG SEMUA EPICNYA🔥,2907,126,54,KML Maulana,0
jXaFfb7uxQ8,2025-01-04T02:10:35Z,Bombohanay Bigtime,916,23,0,Bombo Radyo Iloilo,0
a9lLKvrXCE4,2024-12-31T20:54:30Z,EFOOTBALL 2025 SHOWTIME FREE GRATIS + G.BALE BIGTIME #efootball2025   #gaming #stream #reels,329,7,0,TALU STONER,0
GW1kYAvRfe0,2025-01-02T12:00:14Z,eFootball 2025• ĐÁNH GIÁ G.BALE: PHIÊN BẢN BIGTIME REAL GÂY NHIỀU TRANH CÃI |THẺ TỐT NHẤT CỦA BALE ?,28802,464,64,pEs-football,0
CPugkGdrxpU,2025-01-03T08:35:16Z,KENAPA BIGTIME BALE FORM NYA INCONSISTENT? 🥺,1415,44,31,IQ GAME PES,0
IclTAbJPx9E,2025-01-01T22:29:21Z,قريبًا.. وفي الوقت المناسبJOYAWARDS عاد إليكم من جديد!#JoyAwards#جوي_اوورد#RiyadhSeason#BigTime,4,1,0,Joy Awards,0
0h3QCdW6uhY,2025-01-03T13:32:07Z,Big Time G. Bale 🥶🥵🔥 #efootball #ssfcgaming  #efootball2024 #efootball2025 #bigtime #bale #review,1,1,0,S S FC Gaming,0
oI0mEvrNQBw,2025-01-05T00:16:35Z,Live Stream | Get your code HERE! #BigTime,13,1,1,Toca da Raposa,0
plBHLMHZ9rk,2025-01-02T23:08:56Z,BigTime G.Bale Penaltyspecialist 🏴󠁧󠁢󠁷󠁬󠁳󠁿#efootball2025 #efootball#pes2021 #shortsvideo#youtubeshorts,458,5,0,KING KAZI MAHI,0
FtzE-mPpwQQ,2025-01-02T10:49:36Z,Kanya kanyang Bigtime man lang yan. Battles of the Bigtime. LOL.,459,6,0,Chris ADRI,0
11fNIhhUON4,2025-01-01T18:09:18Z,G BALE BIGTIME PERFORMANCE #efootball #trending,535,30,9,MN 10 GAMING ,0
ztwVn7u2NjU,2025-01-03T00:19:19Z,TRICK DAPAT BIGTIME BALE🔥,880,17,14,KML Maulana,0
b6oOQTEtdog,2025-01-03T06:38:33Z,Perice u messed up bigtime,3,1,0,Janel,0
F7bgpdLPpDU,2024-12-31T20:24:58Z,Efootball Bigtime Gareth bale 107max rating tutorial #cristianoronaldo #messi #efootball #fifa #pes,42,4,5,Efootball scientist ,0
uBCzZLdzi1U,2025-01-02T10:18:28Z,Review Bale bigtime 107 - Efootball mobile,642,11,4,Cậu Ba Tập Chơi Game EFOOTBALL,0
njqGAfr7U8s,2025-01-04T00:43:31Z,Did the refs miss BIGTIME in this game of the #cfb #playoffs🏈😮#collegefootball #sports #sportsnews,539,6,5,Makenzie Miller,0
k0wPxkn2iNk,2025-01-03T10:07:15Z,Bigtime G.Bale the best winger in the game🧐?? | Player review,4728,0,64,DaNiAL,0
GGGD3BGxVMY,2025-01-03T04:55:41Z,"wil time bigtime closing December 17, 2011",16,0,0,Jaeden,0
