Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0X7UPEln0kM,2024-12-31T21:39:34Z,Off The Grid 2024,26,2,0,IAN Y PIPO XBOX S,0
Ib9rUSq9G2w,2025-01-01T16:25:06Z,The Off Grid Sid is live!,81487,469,0,The Off Grid Sid,0
l_-I6MW_wts,2024-12-29T18:04:34Z,Off The Grid | Beta gameplay | 11th play,3,0,0,Travyball ,0
FQZ9Rj2RTjo,2025-01-01T13:42:02Z,🌌 Off The Grid LIVE! 🛡️ Tactical Survival & Cyberpunk Action Awaits! 🚀,0,0,0,Krishnareddy D,0
1kEYKodfZF4,2024-12-30T08:58:39Z,Off The Grid Daily Dubs,106,3,3,BRISCO BANKS!,0
rli5LOd_HjA,2024-12-30T21:13:50Z,Off The Grid Daily Dubs,21,1,0,BRISCO BANKS!,0
8DF3SU8B4Qo,2024-12-30T09:11:14Z,Off The Grid,2,0,0,Hodby Hive,0
F75f1egHbH8,2024-12-29T17:57:49Z,Off the grid 21 kills game play #ps5pro #offthegrid,20,2,0,J-C-flex,0
MDRjpoxDKnE,2024-12-30T21:19:42Z,Off The Grid new Season Folge1,9,6,0,Rami Fox,0
TYzJVRpelLY,2024-12-29T20:45:43Z,Off The Grid Epic end game,2,0,0,Juan Diego Coronel Landivar,0
rLmUTe4bKQc,2025-01-01T16:33:29Z,2 Wins seguidas 🔥 | Off The Grid,4,1,0,Rixi OTG,0
zmHM04Y3bJc,2024-12-29T22:23:54Z,off THE Grid,2,0,0,おんじおんじ,0
iDYK9TM6NRA,2024-12-29T22:29:36Z,Off The Grid is Just Wild game. #gaming #offthegrid #rage,525,8,1,Giritis,0
FzMzHRaAX_I,2024-12-30T17:12:20Z,Off the Grid Wackyweed813 highlights,12,3,2,Wacky weed813,0
yHIlqGZ5ED0,2024-12-31T20:30:27Z,Off The Grid #TheBeginning,20,1,0,xLadyRayray89x,0
3mfBSyGJ3dU,2024-12-31T23:20:55Z,Off the grid trick shot,1,0,0,Idiots central,0
frf7DBU8E0s,2024-12-31T23:51:57Z,Off The Grid Ripper slash for the kill,5,0,0,EGM Central,0
OKVdLHKqP2c,2024-12-29T21:09:56Z,🌌 Off The Grid LIVE! 🛡️ Tactical Survival & Cyberpunk Action Awaits! 🚀,0,0,0,Krishnareddy D,0
23JVvcGrzvg,2025-01-01T12:38:26Z,Off The Grid,0,0,0,Patrick Fanning,0
O1TcGnXOH1c,2025-01-01T01:19:05Z,Off the grid tripmine and leader,4,1,0,Mikey 0,0
