Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
dhXdNp_x96c,2024-12-29T20:33:13Z,Axie Infinity Origins - Dragon II death mark vs poison comp AFK 2024 12 29 15 24 04,4,0,0,Unlock Adroit Greatness,0
eKLore72o5o,2024-12-29T21:06:07Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Rage comp 2024 12 29 15 59 07,0,0,0,Unlock Adroit Greatness,0
Lab8Fp6-QtA,2024-12-31T04:30:12Z,JINX vs GREEDY LEECH | SEASON 11 | AXIE INFINITY ORIGINS,29,2,0,AXIE INFINITY BATTLE,0
j5ey0tfKpu4,2024-12-31T11:05:26Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Koi comp 2024 12 30 05 11 29,8,1,0,Unlock Adroit Greatness,0
t0gKs_7c4Ow,2024-12-29T20:55:13Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Tri Wing comp 2024 12 29 15 49 53,21,0,0,Unlock Adroit Greatness,0
FK5FOpEj-CA,2025-01-02T12:55:48Z,CURSED JINX BUILD | AXIE ORIGIN INFINITY | SEASON 11 MYSTIC ERA,15,1,0,MHAWestro,0
UT2URyJ2xd4,2025-01-04T15:12:25Z,[S7] ASSIM FICA FACIL FAZER MINI-TORNEIO | AXIE INFINITY | RFCode: BLACK,185,13,1,BlackTavernX,0
XX7Ibyuwwyg,2024-12-29T21:55:51Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Poison comp 2024 12 29 16 46 46,1,0,0,Unlock Adroit Greatness,0
acGvGxnbPmE,2024-12-31T11:02:54Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Snake Jar 2024 12 30 05 07 00,1,0,0,Unlock Adroit Greatness,0
EHTNBMl7uBc,2024-12-31T00:03:27Z,Axie Infinity Origins - Ranked Dragon I Death Mark comp vs Ambush comp 2024 12 29 17 31 55,7,0,0,Unlock Adroit Greatness,0
ZQ1_r8yV5io,2024-12-31T00:06:09Z,Axie Infinity Origins - Ranked Dragon I Death Mark comp vs Jinx comp 2024 12 29 17 40 39,3,0,0,Unlock Adroit Greatness,0
QFrBrhJ31GQ,2024-12-31T02:50:04Z,Axie Infinity Origins - Ranked Dragon I Death Mark comp vs Anemone comp 2024 12 30 03 47 09,0,0,0,Unlock Adroit Greatness,0
n6fadVE_sRY,2024-12-29T22:07:31Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Sandal comp 2024 12 29 17 03 06,0,0,0,Unlock Adroit Greatness,0
qSlFpcQPpus,2024-12-31T10:59:26Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Poison comp 2024 12 30 04 45 56,7,0,0,Unlock Adroit Greatness,0
EcHLEvCEEME,2025-01-05T06:45:43Z,🔥 7 WINS EN EL COLISEO DE AXIE INFINITY - CRIS77IAN | BGL 🔥 | 🎮 ÚNETE A LA BEAST GUILD LATAM 🐾,16,8,1,Beast Guild LATAM,0
_qCLxQR0Xzo,2025-01-04T17:00:41Z,POISON-SLEEP vs SANDAL-NIMO | SEASON 11 | AXIE INFINITY ORIGINS,108,2,1,AxieMeta,0
cAV0WlQPxIg,2025-01-03T11:02:12Z,Axie Infinity EXPLAINED: How to Play AND Earn Real Money!,13,0,1,Rival Rumble,0
gGNlw7W10Zg,2025-01-03T21:53:55Z,Axie Infinity Classic TODO sobre la Temporada 7,34,0,1,Aulox Crypto Gaming,0
n6fadVE_sRY,2024-12-29T22:07:31Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Sandal comp 2024 12 29 17 03 06,0,0,0,Unlock Adroit Greatness,0
qSlFpcQPpus,2024-12-31T10:59:26Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Poison comp 2024 12 30 04 45 56,7,0,0,Unlock Adroit Greatness,0
gGNlw7W10Zg,2025-01-03T21:53:55Z,Axie Infinity Classic TODO sobre la Temporada 7,34,0,1,Aulox Crypto Gaming,0
cAV0WlQPxIg,2025-01-03T11:02:12Z,Axie Infinity EXPLAINED: How to Play AND Earn Real Money!,13,0,1,Rival Rumble,0
sBWdGo26RoM,2025-01-03T22:00:26Z,POISON-SLEEP vs POISON-GILA | SEASON 11 | AXIE INFINITY ORIGINS,167,1,1,AxieMeta,0
JSrXYg8VMEo,2024-12-29T21:48:29Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Aqua Turnip comp 2024 12 29 16 40 25,0,0,0,Unlock Adroit Greatness,0
xzBp7ZBWZhw,2025-01-04T13:16:40Z,Breaching 1900 ⭐ ft. Mystic Plague | POISLEEP #5 | Axie Infinity Origins Season 11 Final Era,112,2,0,clarenja,0
QYhbBymuPS0,2025-01-01T20:01:16Z,"Axie Infinity, Equipo Buster de energía me parte como a un queso",120,3,0,YorkieCoin y Finanzas,0
gecvMy_P7p4,2025-01-03T13:26:26Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Beast Shiba comp 2025 01 03 07 54 47,0,0,0,Unlock Adroit Greatness,0
D3fxAKdMn7E,2025-01-03T13:31:23Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Poison Spike comp 2025 01 03 07 58 38,0,0,0,Unlock Adroit Greatness,0
BVLx4uIe5yg,2025-01-03T13:34:34Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Reptile Poison comp 2025 01 03 08 08 51,1,0,0,Unlock Adroit Greatness,0
-TRL7iJqXQs,2024-12-29T20:14:23Z,Axie Infinity Origins - Dragon II death mark vs sandal comp 2024 12 29 13 01 20,16,0,0,Unlock Adroit Greatness,0
V9_JDawOo7g,2024-12-29T20:50:11Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs spike comp 2024 12 29 15 38 35,14,0,0,Unlock Adroit Greatness,0
kaP1Xg9S560,2025-01-02T10:41:07Z,Haber este pa atra - Axie Infinity,3,0,0,OG_TuSabes - Axie Infinity,0
8wqGZeSL9AA,2025-01-04T12:52:21Z,AXIE Infinity Homeland 🏠 Gana entre 9-120$ sin inversión #axie #axs #juegonft #nft #axieinfinity,67,2,1,CriptoGary,0
eDi6mjwkmF4,2025-01-03T11:53:04Z,Axie Infinity Top 1 (destroying all meta teams),25,1,0,Patatas at Potato,0
ONlggEaaKKM,2024-12-29T21:19:52Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Cocoon comp 2024 12 29 16 08 08,0,0,0,Unlock Adroit Greatness,0
HoD3305l9ig,2025-01-02T19:32:52Z,Cómo Obtener 3 AXIES GRATIS en Axie Infinity: ¡Paso a Paso! 🎮 | RONIN NETWORK,158,7,16,AnghelitO091,0
ysjIcK7wATo,2025-01-01T21:15:06Z,FELIZ ANO NOVO 🎉 RUSH ERA FINAL | AXIE INFINITY | RFCode: BLACK,229,7,5,BlackTavernX,0
vUbGgbsXSGw,2025-01-03T13:20:03Z,Axie Infinity Origins - Ranked Dragon II Death Mark comp vs Shield comp 2025 01 03 07 49 29,1,0,0,Unlock Adroit Greatness,0
_47m9N6yWR8,2025-01-04T19:06:16Z,Axie Infinity... Actualizacion de Equipo para final de Era,46,5,1,YorkieCoin y Finanzas,0
sCVk4GoZshA,2025-01-04T11:34:23Z,Team Koi 9.73 USD vs All Meta - Axie Infinity Origins,9,0,2,OG_TuSabes - Axie Infinity,0
WLvxE6bbUqI,2025-01-04T18:37:08Z,Jugando Axie Infinity Origin a ver que sale,0,0,1,JuBoy,0
MkgFUaiA-8o,2025-01-04T19:00:12Z,Kanntess du den Axie Infinity Skandal?#fyp #fürdich #skandal #deutschland #Germany #krypto,0,0,0,Kennst Du?,0
L2vUP6TAw2w,2025-01-04T03:30:25Z,Axie infifty BOT INFINITY MONEY!!! PREMIUM + STANDART BOARD,34,1,3,Alfabit NFT,0
